ID,jobTitle,companyName,jobLocation,jobSummary
1,Data Scientist,Aetna,"New York, NY 10008 (Financial District area)","Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization...."
2,Data Scientist I,AIG,"New York, NY","Data Scientists collaborate with AIG’s Life and Retirement businesses across multiple functions, including product, distribution, marketing, operations, and..."
3,Data Scientist,Disney Streaming Services,"New York, NY","The Data Scientist is a critical position within DSS and in the Data organization who specializes in applying machine learning methods to meet optimization,..."
4,Data Scientist (Data Startup),Averity,"New York, NY",We use sophisticated machine learning and AI for data extraction to provide predictive analytics and market insight to our client base....
5,"Associate Scientist (Discovery Team), Cell Biology",Firmenich Inc.,"New York, NY 10022 (Midtown area)",Perform in vitro functional assays and subsequent data analysis/interpretation as part of collaborative effort with a team of scientists....
6,Sr. Data Scientist,Vibrant Emotional Health,"New York, NY 10004 (Financial District area)","Senior Data Scientist. Experience communicating with domain stakeholders in health or mental health. As Senior Data Scientist and team lead, you will use..."
7,2019 University Graduate - Data Scientist I/II - UberEverything - New York,Uber,"New York, NY 10018 (Clinton area)","To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app..."
8,"Research Analyst, People Analytics",Google,"New York, NY 10011 (Chelsea area)","Experience using SQL to clean data. We are a group of social scientists, with research backgrounds, who conduct experimental, survey, and archival research to..."
9,Data Scientist,PepsiCo,"New York, NY 10017 (Midtown area)","PepsiCo’s Data Science and Analytics group is a team of data scientists, technology specialists, and business innovators who operate within eCommerce to build..."
10,Junior Data Scientist,1-800-Flowers.com,"New York, NY","As Junior Data Scientist, you will be responsible for collecting, cleaning, and extracting data from a variety of systems at 1-800-flowers with intention to run..."
11,"Research Analyst, People Analytics Research",Google,"New York, NY 10011 (Chelsea area)","We are a group of social scientists who conduct experimental, survey, and archival research to inform people-related business decisions...."
12,"Data Scientist, Advanced Marketing Analytics",Spotify,"New York, NY 10011 (Chelsea area)","Spotify is seeking a Data Scientist, Advanced Marketing Analytics to build advanced marketing analytics solutions...."
13,Junior Data Scientist,Viacom,"New York, NY 10036","Knowledge of algorithms for data mining, machine learning, and/or natural language processing. Experienced user of data visualization tools (e.g...."
14,Data Scientist – Personalization,Spotify,"New York, NY 10011 (Chelsea area)","Mentor and coach other data scientists. We are seeking a Data Scientist to join our Product Insights team, focusing on Personalization...."
15,Data Scientist - Machine Learning,American Express,"New York, NY",This role is ideal for someone who wants to develop a research & development career in the digital payments space while learning and applying related machine...
16,"Data Scientist, Sales",Slack,"New York, NY","Slack is looking for experienced data scientists to join our Business Technology Sales Analytics team and help drive the understanding, growth, and success of..."
17,"Staff Data Scientist - Technology - New York, NY",Finra,"New York, NY 10005 (Financial District area)",A Staff Data Scientist for Market Regulation Technology will support the establishment of data science and machine learning best practices as FINRA moves to...
18,AI Scientist,Accrete.AI,"New York, NY 10004 (Financial District area)","Two to three years of experience with Artificial Intelligence, Quantitative and Qualitative Analytics, Deep Learning, Machine Learning, Natural Language..."
19,AI Scientist,Accrete.AI,"New York, NY 10004 (Financial District area)","Two to three years of experience with Artificial Intelligence, Quantitative and Qualitative Analytics, Deep Learning, Machine Learning, Natural Language..."
20,Data Scientist I,AIG,"New York, NY","Data Scientists collaborate with AIG’s Life and Retirement businesses across multiple functions, including product, distribution, marketing, operations, and..."
21,Data Scientist,Disney Streaming Services,"New York, NY","The Data Scientist is a critical position within DSS and in the Data organization who specializes in applying machine learning methods to meet optimization,..."
22,Data Scientist (Data Startup),Averity,"New York, NY",We use sophisticated machine learning and AI for data extraction to provide predictive analytics and market insight to our client base....
23,"Associate Scientist (Discovery Team), Cell Biology",Firmenich Inc.,"New York, NY 10022 (Midtown area)",Perform in vitro functional assays and subsequent data analysis/interpretation as part of collaborative effort with a team of scientists....
24,Sr. Data Scientist,Vibrant Emotional Health,"New York, NY 10004 (Financial District area)","Senior Data Scientist. Experience communicating with domain stakeholders in health or mental health. As Senior Data Scientist and team lead, you will use..."
25,"Data Analytics Engineer, Experimentation",Spotify,"New York, NY 10011 (Chelsea area)","In order to help us achieve this, the Analytics Engineer will build out an efficient analytics data suite so that we can create common data layers, build..."
26,Principal Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)","Looking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster, generating insights to guide consumers..."
27,Data Scientist,"Amazon Web Services, Inc.","New York, NY","Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences...."
28,Data & Insight Analyst 1,Mars,"New York, NY","Use machine learning techniques, visualizations, statistical analysis, etc., to gain insight into various data sets – some readily available, and some you..."
29,Data Analytics Analyst / Associate,Morgan Stanley,"New York, NY","Technical Qualifications• Experience with using data profiling tools to query the data, identify anomalies, gaps and issues • Experience in Python and/or R..."
30,Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)","Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization...."
31,Associate Data Scientist,Viacom,"New York, NY 10036","In this role, you will join an exciting new department at Viacom (Content Innovation Analytics ) that touches all of the hottest topics in the TV research..."
32,Quantitative Analyst,HSBC,"New York, NY","Programming in at least one languages (Python, R, Matlab or C++). Review and validate FO derivative pricing models, valuation adjustment models, eTrading Algo..."
33,eCommerce Data Reporting Analyst,PepsiCo,"New York, NY 10017 (Midtown area)","PepsiCo’s Data Science and Analytics group is a team of data scientists, technology specialists, and business innovators who operate within eCommerce to build..."
34,"Senior Analyst, Data and Analysis",Digitas,"New York, NY 10104 (Midtown area)","The Data & Analysis team uses data-driven insights to fuel strategic growth for clients. <U+2726> Instituting frameworks across project and campaign lifecycles,..."
35,"Staff Data Scientist - Technology - New York, NY",Finra,"New York, NY 10005 (Financial District area)",A Staff Data Scientist for Market Regulation Technology will support the establishment of data science and machine learning best practices as FINRA moves to...
36,Data Scientist,Aetna,"New York, NY 10008 (Financial District area)","Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization...."
37,Data Scientist I,AIG,"New York, NY","Data Scientists collaborate with AIG’s Life and Retirement businesses across multiple functions, including product, distribution, marketing, operations, and..."
38,"Staff Data Scientist - Technology - New York, NY",Finra,"New York, NY 10005 (Financial District area)",A Staff Data Scientist for Market Regulation Technology will support the establishment of data science and machine learning best practices as FINRA moves to...
39,Data Scientist,Aetna,"New York, NY 10008 (Financial District area)","Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization...."
40,Data Scientist,Butterfly Network,"New York, NY",Deep experience with Python data science ecosystem:. 3 + years of data science experience. We are looking for a highly motivated and experienced data scientist...
41,Data Scientist,Citizen,"New York, NY","Distilling questions, wrangling data, and driving decisions with data analytics. Work with Engineering to evangelize data best practices and implement data..."
42,Data Scientist,Civis Analytics,"New York, NY",The political R&D group is seeking a Data Scientist to join our team of data scientists and strategists in New York City....
43,Data Scientist,Eyeview,"New York, NY 10011 (Chelsea area)","Python along with experience in the various machine learning, scientific computing, and data visualization libraries (numpy, scipy, sklearn, pandas, matplotlib,..."
44,Junior Data Scientist,Interactive Brokers,"New York, NY","The junior data scientist role will use data to help us better understand who our clients are, how they engage with our products and services and how we can..."
45,"Data Scientist, Inference",Etsy,"New York, NY",Etsy is looking for a Data Scientist focusing on Causal Inference and Experimental Design to join our Data Science - Machine Learning team in Brooklyn....
46,Data Scientist,Reonomy,"New York, NY",Creating data systems that ensure quality and consistency on our data platform. We are creating a best-in-class data infrastructure which intelligently links...
